id_auditoria,descripcion,fecha
1,Pedido 1 generado para Cliente 210,2025-10-25 23:37:58.367000000
2,Pedido 2 generado para Cliente 970,2025-10-25 23:37:58.390000000
3,Pedido 3 generado para Cliente 815,2025-10-25 23:37:58.413000000
4,Pedido 4 generado para Cliente 216,2025-10-25 23:37:58.443000000
5,Pedido 5 generado para Cliente 872,2025-10-25 23:37:58.480000000
6,Pedido 6 generado para Cliente 904,2025-10-25 23:37:58.510000000
7,Pedido 7 generado para Cliente 513,2025-10-25 23:37:58.540000000
8,Pedido 8 generado para Cliente 577,2025-10-25 23:37:58.583000000
9,Pedido 9 generado para Cliente 100,2025-10-25 23:37:58.617000000
10,Pedido 10 generado para Cliente 86,2025-10-25 23:37:58.650000000
11,Pedido 11 generado para Cliente 224,2025-10-25 23:37:58.680000000
12,Pedido 12 generado para Cliente 454,2025-10-25 23:37:58.723000000
13,Pedido 13 generado para Cliente 545,2025-10-25 23:37:58.750000000
14,Pedido 14 generado para Cliente 927,2025-10-25 23:37:58.787000000
15,Pedido 15 generado para Cliente 984,2025-10-25 23:37:58.807000000
16,Pedido 16 generado para Cliente 901,2025-10-25 23:37:58.857000000
17,Pedido 17 generado para Cliente 47,2025-10-25 23:37:58.910000000
18,Pedido 18 generado para Cliente 922,2025-10-25 23:37:58.943000000
19,Pedido 19 generado para Cliente 369,2025-10-25 23:37:58.990000000
20,Pedido 20 generado para Cliente 348,2025-10-25 23:37:59.013000000
21,Pedido 21 generado para Cliente 468,2025-10-25 23:37:59.050000000
22,Pedido 22 generado para Cliente 199,2025-10-25 23:37:59.083000000
23,Pedido 23 generado para Cliente 396,2025-10-25 23:37:59.110000000
24,Pedido 24 generado para Cliente 864,2025-10-25 23:37:59.150000000
25,Pedido 25 generado para Cliente 627,2025-10-25 23:37:59.183000000
26,Pedido 26 generado para Cliente 389,2025-10-25 23:37:59.213000000
27,Pedido 27 generado para Cliente 70,2025-10-25 23:37:59.243000000
28,Pedido 28 generado para Cliente 511,2025-10-25 23:37:59.283000000
29,Pedido 29 generado para Cliente 815,2025-10-25 23:37:59.317000000
30,Pedido 30 generado para Cliente 839,2025-10-25 23:37:59.340000000
31,Pedido 31 generado para Cliente 328,2025-10-25 23:37:59.377000000
32,Pedido 32 generado para Cliente 810,2025-10-25 23:37:59.397000000
33,Pedido 33 generado para Cliente 634,2025-10-25 23:37:59.420000000
34,Pedido 34 generado para Cliente 32,2025-10-25 23:37:59.450000000
35,Pedido 35 generado para Cliente 431,2025-10-25 23:37:59.480000000
36,Pedido 36 generado para Cliente 382,2025-10-25 23:37:59.507000000
37,Pedido 37 generado para Cliente 471,2025-10-25 23:37:59.540000000
38,Pedido 38 generado para Cliente 309,2025-10-25 23:37:59.567000000
39,Pedido 39 generado para Cliente 160,2025-10-25 23:37:59.600000000
40,Pedido 40 generado para Cliente 879,2025-10-25 23:37:59.623000000
41,Pedido 41 generado para Cliente 300,2025-10-25 23:37:59.650000000
42,Pedido 42 generado para Cliente 413,2025-10-25 23:37:59.680000000
43,Pedido 43 generado para Cliente 228,2025-10-25 23:37:59.703000000
44,Pedido 44 generado para Cliente 478,2025-10-25 23:37:59.733000000
45,Pedido 45 generado para Cliente 584,2025-10-25 23:37:59.763000000
46,Pedido 46 generado para Cliente 463,2025-10-25 23:37:59.803000000
47,Pedido 47 generado para Cliente 445,2025-10-25 23:37:59.837000000
48,Pedido 48 generado para Cliente 867,2025-10-25 23:37:59.863000000
49,Pedido 49 generado para Cliente 762,2025-10-25 23:37:59.890000000
50,Pedido 50 generado para Cliente 799,2025-10-25 23:37:59.920000000
51,Pedido 51 generado para Cliente 260,2025-10-25 23:37:59.940000000
52,Pedido 52 generado para Cliente 762,2025-10-25 23:37:59.963000000
53,Pedido 53 generado para Cliente 163,2025-10-25 23:38:00.003000000
54,Pedido 54 generado para Cliente 898,2025-10-25 23:38:00.033000000
55,Pedido 55 generado para Cliente 182,2025-10-25 23:38:00.070000000
56,Pedido 56 generado para Cliente 732,2025-10-25 23:38:00.093000000
57,Pedido 57 generado para Cliente 283,2025-10-25 23:38:00.120000000
58,Pedido 58 generado para Cliente 52,2025-10-25 23:38:00.147000000
59,Pedido 59 generado para Cliente 994,2025-10-25 23:38:00.180000000
60,Pedido 60 generado para Cliente 416,2025-10-25 23:38:00.217000000
61,Pedido 61 generado para Cliente 521,2025-10-25 23:38:00.250000000
62,Pedido 62 generado para Cliente 570,2025-10-25 23:38:00.283000000
63,Pedido 63 generado para Cliente 706,2025-10-25 23:38:00.303000000
64,Pedido 64 generado para Cliente 679,2025-10-25 23:38:00.337000000
65,Pedido 65 generado para Cliente 436,2025-10-25 23:38:00.367000000
66,Pedido 66 generado para Cliente 186,2025-10-25 23:38:00.393000000
67,Pedido 67 generado para Cliente 963,2025-10-25 23:38:00.430000000
68,Pedido 68 generado para Cliente 296,2025-10-25 23:38:00.463000000
69,Pedido 69 generado para Cliente 998,2025-10-25 23:38:00.487000000
70,Pedido 70 generado para Cliente 211,2025-10-25 23:38:00.523000000
71,Pedido 71 generado para Cliente 266,2025-10-25 23:38:00.547000000
72,Pedido 72 generado para Cliente 904,2025-10-25 23:38:00.570000000
73,Pedido 73 generado para Cliente 577,2025-10-25 23:38:00.600000000
74,Pedido 74 generado para Cliente 285,2025-10-25 23:38:00.633000000
75,Pedido 75 generado para Cliente 495,2025-10-25 23:38:00.670000000
76,Pedido 76 generado para Cliente 247,2025-10-25 23:38:00.703000000
77,Pedido 77 generado para Cliente 299,2025-10-25 23:38:00.727000000
78,Pedido 78 generado para Cliente 930,2025-10-25 23:38:00.750000000
79,Pedido 79 generado para Cliente 68,2025-10-25 23:38:00.783000000
80,Pedido 80 generado para Cliente 500,2025-10-25 23:38:00.807000000
81,Pedido 81 generado para Cliente 894,2025-10-25 23:38:00.830000000
82,Pedido 82 generado para Cliente 829,2025-10-25 23:38:00.860000000
83,Pedido 83 generado para Cliente 476,2025-10-25 23:38:00.897000000
84,Pedido 84 generado para Cliente 863,2025-10-25 23:38:00.930000000
85,Pedido 85 generado para Cliente 847,2025-10-25 23:38:00.967000000
86,Pedido 86 generado para Cliente 913,2025-10-25 23:38:00.997000000
87,Pedido 87 generado para Cliente 366,2025-10-25 23:38:01.023000000
88,Pedido 88 generado para Cliente 988,2025-10-25 23:38:01.060000000
89,Pedido 89 generado para Cliente 789,2025-10-25 23:38:01.083000000
90,Pedido 90 generado para Cliente 662,2025-10-25 23:38:01.120000000
91,Pedido 91 generado para Cliente 425,2025-10-25 23:38:01.150000000
92,Pedido 92 generado para Cliente 732,2025-10-25 23:38:01.183000000
93,Pedido 93 generado para Cliente 996,2025-10-25 23:38:01.210000000
94,Pedido 94 generado para Cliente 525,2025-10-25 23:38:01.240000000
95,Pedido 95 generado para Cliente 58,2025-10-25 23:38:01.273000000
96,Pedido 96 generado para Cliente 377,2025-10-25 23:38:01.300000000
97,Pedido 97 generado para Cliente 152,2025-10-25 23:38:01.337000000
98,Pedido 98 generado para Cliente 564,2025-10-25 23:38:01.367000000
