id_inventario,id_producto,stock
1,3,294
2,6,272
3,9,519
4,12,263
5,15,72
6,18,398
7,21,237
8,24,274
9,27,200
10,30,136
11,33,451
12,36,363
13,39,213
14,42,207
15,45,383
16,48,450
17,51,280
18,54,344
19,57,283
20,60,160
21,63,236
22,66,413
23,69,58
24,72,424
25,75,360
26,78,449
27,81,122
28,84,247
29,87,84
30,90,340
31,93,205
32,96,134
33,99,267
34,102,528
35,105,461
36,108,162
37,111,437
38,114,68
39,117,444
40,120,311
41,123,204
42,126,65
43,129,399
44,132,91
45,135,63
46,138,360
47,141,446
48,144,504
49,147,491
50,150,116
51,153,207
52,156,141
53,159,60
54,162,91
55,165,96
56,168,287
57,171,100
58,174,229
59,177,350
60,180,163
61,183,474
62,186,354
63,189,113
64,192,46
65,195,440
66,198,518
67,201,154
68,204,273
69,207,232
70,210,268
71,213,375
72,216,306
73,219,213
74,222,215
75,225,92
76,228,425
77,231,528
78,234,260
79,237,174
80,240,86
81,243,136
82,246,426
83,249,508
84,252,71
85,255,220
86,258,319
87,261,293
88,264,200
89,267,297
90,270,309
91,273,294
92,276,170
93,279,58
94,282,249
95,285,247
96,288,176
97,291,260
98,294,473
99,297,214
100,300,518
101,303,200
102,306,456
103,309,373
104,312,520
105,315,178
106,318,447
107,321,149
108,324,322
109,327,437
110,330,509
111,333,101
112,336,334
113,339,131
114,342,264
115,345,507
116,348,378
117,351,338
118,354,237
119,357,99
120,360,162
121,363,89
122,366,483
123,369,349
124,372,449
125,375,194
126,378,55
127,381,68
128,384,111
129,387,277
130,390,241
131,393,296
132,396,295
133,399,413
134,402,84
135,405,430
136,408,223
137,411,276
138,414,280
139,417,353
140,420,310
141,423,397
142,426,263
143,429,123
144,432,124
145,435,181
146,438,259
147,441,517
148,444,496
149,447,59
150,450,133
151,453,336
152,456,232
153,459,511
154,462,531
155,465,60
156,468,274
157,471,328
158,474,443
159,477,270
160,480,442
161,483,133
162,486,152
163,489,310
164,492,123
165,495,202
166,498,428
167,501,184
168,504,340
169,507,468
170,510,60
171,513,235
172,516,157
173,519,169
174,522,387
175,525,203
176,528,219
177,531,169
178,534,147
179,537,451
180,540,339
181,543,225
182,546,180
183,549,77
184,552,427
185,555,207
186,558,96
187,561,353
188,564,77
189,567,401
190,570,138
191,573,533
192,576,367
193,579,364
194,582,380
195,585,192
196,588,476
197,591,199
198,594,293
199,597,197
200,600,422
201,603,79
202,606,296
203,609,518
204,612,244
205,615,456
206,618,408
207,621,201
208,624,418
209,627,249
210,630,137
211,633,128
212,636,481
