id_pedido,id_cliente,id_empleado,fecha_pedido,estado
1,210,262,2025-10-11 23:37:58.260000000,Preparando
2,970,956,2025-10-25 23:37:58.373000000,Entregado
3,815,258,2025-10-22 23:37:58.397000000,Pendiente
4,216,316,2025-10-18 23:37:58.420000000,Preparando
5,872,821,2025-09-27 23:37:58.450000000,Entregado
6,904,432,2025-09-28 23:37:58.487000000,Pendiente
7,513,483,2025-10-07 23:37:58.513000000,Preparando
8,577,22,2025-10-22 23:37:58.547000000,Entregado
9,100,382,2025-10-05 23:37:58.590000000,Pendiente
10,86,243,2025-10-22 23:37:58.620000000,Preparando
11,224,913,2025-10-16 23:37:58.657000000,Entregado
12,454,315,2025-10-06 23:37:58.687000000,Pendiente
13,545,371,2025-10-19 23:37:58.730000000,Preparando
14,927,314,2025-09-26 23:37:58.757000000,Entregado
15,984,216,2025-10-01 23:37:58.790000000,Pendiente
16,901,560,2025-10-04 23:37:58.813000000,Preparando
17,47,945,2025-10-21 23:37:58.867000000,Entregado
18,922,476,2025-09-30 23:37:58.920000000,Pendiente
19,369,182,2025-09-26 23:37:58.953000000,Preparando
20,348,985,2025-10-09 23:37:58.997000000,Entregado
21,468,565,2025-10-06 23:37:59.023000000,Pendiente
22,199,550,2025-10-14 23:37:59.057000000,Preparando
23,396,39,2025-10-02 23:37:59.090000000,Entregado
24,864,657,2025-10-06 23:37:59.127000000,Pendiente
25,627,314,2025-10-24 23:37:59.157000000,Preparando
26,389,468,2025-09-29 23:37:59.190000000,Entregado
27,70,526,2025-10-23 23:37:59.220000000,Pendiente
28,511,511,2025-10-22 23:37:59.250000000,Preparando
29,815,185,2025-10-07 23:37:59.290000000,Entregado
30,839,33,2025-10-19 23:37:59.323000000,Pendiente
31,328,892,2025-10-04 23:37:59.347000000,Preparando
32,810,188,2025-10-11 23:37:59.383000000,Entregado
33,634,779,2025-10-19 23:37:59.403000000,Pendiente
34,32,422,2025-10-06 23:37:59.427000000,Preparando
35,431,148,2025-10-17 23:37:59.457000000,Entregado
36,382,619,2025-10-12 23:37:59.483000000,Pendiente
37,471,348,2025-10-12 23:37:59.513000000,Preparando
38,309,403,2025-10-09 23:37:59.543000000,Entregado
39,160,999,2025-10-14 23:37:59.573000000,Pendiente
40,879,476,2025-10-02 23:37:59.607000000,Preparando
41,300,16,2025-10-11 23:37:59.630000000,Entregado
42,413,615,2025-10-04 23:37:59.657000000,Pendiente
43,228,691,2025-10-13 23:37:59.687000000,Preparando
44,478,749,2025-10-22 23:37:59.710000000,Entregado
45,584,250,2025-10-18 23:37:59.740000000,Pendiente
46,463,501,2025-10-03 23:37:59.770000000,Preparando
47,445,212,2025-10-21 23:37:59.810000000,Entregado
48,867,326,2025-10-12 23:37:59.840000000,Pendiente
49,762,395,2025-09-27 23:37:59.870000000,Preparando
50,799,177,2025-10-15 23:37:59.897000000,Entregado
51,260,796,2025-10-11 23:37:59.927000000,Pendiente
52,762,307,2025-10-21 23:37:59.947000000,Preparando
53,163,255,2025-10-24 23:37:59.970000000,Entregado
54,898,148,2025-10-22 23:38:00.013000000,Pendiente
55,182,7,2025-10-05 23:38:00.040000000,Preparando
56,732,427,2025-10-19 23:38:00.077000000,Entregado
57,283,656,2025-10-22 23:38:00.100000000,Pendiente
58,52,185,2025-10-23 23:38:00.123000000,Preparando
59,994,459,2025-10-04 23:38:00.153000000,Entregado
60,416,901,2025-10-21 23:38:00.187000000,Pendiente
61,521,964,2025-10-23 23:38:00.223000000,Preparando
62,570,304,2025-10-02 23:38:00.260000000,Entregado
63,706,506,2025-09-27 23:38:00.287000000,Pendiente
64,679,227,2025-10-13 23:38:00.310000000,Preparando
65,436,261,2025-10-23 23:38:00.343000000,Entregado
66,186,457,2025-09-28 23:38:00.370000000,Pendiente
67,963,686,2025-10-22 23:38:00.400000000,Preparando
68,296,311,2025-10-10 23:38:00.437000000,Entregado
69,998,387,2025-10-02 23:38:00.470000000,Pendiente
70,211,187,2025-10-09 23:38:00.493000000,Preparando
71,266,348,2025-10-16 23:38:00.530000000,Entregado
72,904,430,2025-09-28 23:38:00.553000000,Pendiente
73,577,4,2025-09-26 23:38:00.577000000,Preparando
74,285,279,2025-10-15 23:38:00.607000000,Entregado
75,495,551,2025-10-07 23:38:00.640000000,Pendiente
76,247,80,2025-10-06 23:38:00.677000000,Preparando
77,299,368,2025-10-16 23:38:00.710000000,Entregado
78,930,623,2025-10-20 23:38:00.733000000,Pendiente
79,68,172,2025-10-21 23:38:00.757000000,Preparando
80,500,826,2025-10-03 23:38:00.790000000,Entregado
81,894,416,2025-10-22 23:38:00.813000000,Pendiente
82,829,84,2025-10-14 23:38:00.837000000,Preparando
83,476,222,2025-10-01 23:38:00.867000000,Entregado
84,863,849,2025-10-08 23:38:00.903000000,Pendiente
85,847,706,2025-10-16 23:38:00.937000000,Preparando
86,913,105,2025-10-16 23:38:00.973000000,Entregado
87,366,215,2025-09-28 23:38:01.003000000,Pendiente
88,988,504,2025-10-17 23:38:01.030000000,Preparando
89,789,610,2025-09-27 23:38:01.067000000,Entregado
90,662,156,2025-10-09 23:38:01.087000000,Pendiente
91,425,416,2025-10-03 23:38:01.130000000,Preparando
92,732,758,2025-10-23 23:38:01.160000000,Entregado
93,996,299,2025-10-08 23:38:01.190000000,Pendiente
94,525,23,2025-10-06 23:38:01.217000000,Preparando
95,58,466,2025-10-25 23:38:01.250000000,Entregado
96,377,265,2025-10-01 23:38:01.280000000,Pendiente
97,152,925,2025-10-10 23:38:01.307000000,Preparando
98,564,711,2025-10-08 23:38:01.343000000,Entregado
99,741,360,2025-10-07 23:38:01.373000000,Pendiente
100,178,438,2025-09-28 23:38:01.403000000,Preparando
101,744,267,2025-10-02 23:38:01.443000000,Entregado
102,443,904,2025-10-06 23:38:01.470000000,Pendiente
103,239,182,2025-10-09 23:38:01.517000000,Preparando
104,561,573,2025-10-20 23:38:01.547000000,Entregado
105,228,121,2025-10-03 23:38:01.580000000,Pendiente
