id_producto,nombre_pro,categoria,precio
1,Producto_1,Comida,3583.00
2,Producto_2,Postre,9998.00
3,Producto_3,Bebida,9658.00
4,Producto_4,Comida,9284.00
5,Producto_5,Postre,4428.00
6,Producto_6,Bebida,8569.00
7,Producto_7,Comida,3166.00
8,Producto_8,Postre,9360.00
9,Producto_9,Bebida,4438.00
10,Producto_10,Comida,6474.00
11,Producto_11,Postre,8519.00
12,Producto_12,Bebida,9062.00
13,Producto_13,Comida,6806.00
14,Producto_14,Postre,4012.00
15,Producto_15,Bebida,8420.00
16,Producto_16,Comida,5824.00
17,Producto_17,Postre,6156.00
18,Producto_18,Bebida,7902.00
19,Producto_19,Comida,1402.00
20,Producto_20,Postre,2936.00
21,Producto_21,Bebida,3843.00
22,Producto_22,Comida,4170.00
23,Producto_23,Postre,3408.00
24,Producto_24,Bebida,1049.00
25,Producto_25,Comida,3358.00
26,Producto_26,Postre,3704.00
27,Producto_27,Bebida,3166.00
28,Producto_28,Comida,2958.00
29,Producto_29,Postre,3865.00
30,Producto_30,Bebida,8032.00
31,Producto_31,Comida,2818.00
32,Producto_32,Postre,9578.00
33,Producto_33,Bebida,5595.00
34,Producto_34,Comida,6833.00
35,Producto_35,Postre,2008.00
36,Producto_36,Bebida,2285.00
37,Producto_37,Comida,2867.00
38,Producto_38,Postre,2214.00
39,Producto_39,Bebida,4143.00
40,Producto_40,Comida,8487.00
41,Producto_41,Postre,3847.00
42,Producto_42,Bebida,1445.00
43,Producto_43,Comida,8650.00
44,Producto_44,Postre,1468.00
45,Producto_45,Bebida,7131.00
46,Producto_46,Comida,2695.00
47,Producto_47,Postre,9340.00
48,Producto_48,Bebida,5881.00
49,Producto_49,Comida,7636.00
50,Producto_50,Postre,9309.00
51,Producto_51,Bebida,5580.00
52,Producto_52,Comida,4386.00
53,Producto_53,Postre,8298.00
54,Producto_54,Bebida,9235.00
55,Producto_55,Comida,1376.00
56,Producto_56,Postre,6376.00
57,Producto_57,Bebida,9250.00
58,Producto_58,Comida,7708.00
59,Producto_59,Postre,9603.00
60,Producto_60,Bebida,3785.00
61,Producto_61,Comida,5754.00
62,Producto_62,Postre,5018.00
63,Producto_63,Bebida,6719.00
64,Producto_64,Comida,9654.00
65,Producto_65,Postre,9259.00
66,Producto_66,Bebida,8055.00
67,Producto_67,Comida,7059.00
68,Producto_68,Postre,8791.00
69,Producto_69,Bebida,3527.00
70,Producto_70,Comida,9116.00
71,Producto_71,Postre,7998.00
72,Producto_72,Bebida,2207.00
73,Producto_73,Comida,8190.00
74,Producto_74,Postre,6344.00
75,Producto_75,Bebida,2657.00
76,Producto_76,Comida,9635.00
77,Producto_77,Postre,2662.00
78,Producto_78,Bebida,7078.00
79,Producto_79,Comida,9863.00
80,Producto_80,Postre,5750.00
81,Producto_81,Bebida,1383.00
82,Producto_82,Comida,8536.00
83,Producto_83,Postre,6512.00
84,Producto_84,Bebida,5553.00
85,Producto_85,Comida,6643.00
86,Producto_86,Postre,8972.00
87,Producto_87,Bebida,3996.00
88,Producto_88,Comida,8911.00
89,Producto_89,Postre,6389.00
90,Producto_90,Bebida,8181.00
91,Producto_91,Comida,3926.00
92,Producto_92,Postre,3480.00
93,Producto_93,Bebida,5451.00
94,Producto_94,Comida,4787.00
95,Producto_95,Postre,6610.00
96,Producto_96,Bebida,9688.00
97,Producto_97,Comida,4678.00
98,Producto_98,Postre,7447.00
99,Producto_99,Bebida,6251.00
100,Producto_100,Comida,4151.00
101,Producto_101,Postre,8931.00
102,Producto_102,Bebida,3512.00
103,Producto_103,Comida,6064.00
104,Producto_104,Postre,6031.00
105,Producto_105,Bebida,1801.00
106,Producto_106,Comida,8772.00
107,Producto_107,Postre,8691.00
108,Producto_108,Bebida,4051.00
109,Producto_109,Comida,8056.00
110,Producto_110,Postre,2630.00
111,Producto_111,Bebida,8474.00
112,Producto_112,Comida,9476.00
113,Producto_113,Postre,5307.00
114,Producto_114,Bebida,4757.00
115,Producto_115,Comida,1760.00
116,Producto_116,Postre,2129.00
117,Producto_117,Bebida,2807.00
118,Producto_118,Comida,6339.00
119,Producto_119,Postre,1680.00
120,Producto_120,Bebida,5567.00
121,Producto_121,Comida,8063.00
122,Producto_122,Postre,2205.00
123,Producto_123,Bebida,8620.00
124,Producto_124,Comida,2885.00
125,Producto_125,Postre,1795.00
126,Producto_126,Bebida,4859.00
127,Producto_127,Comida,3647.00
128,Producto_128,Postre,8480.00
129,Producto_129,Bebida,6680.00
130,Producto_130,Comida,7556.00
131,Producto_131,Postre,6660.00
132,Producto_132,Bebida,2068.00
133,Producto_133,Comida,5518.00
134,Producto_134,Postre,4272.00
135,Producto_135,Bebida,8381.00
136,Producto_136,Comida,9027.00
137,Producto_137,Postre,5901.00
138,Producto_138,Bebida,2609.00
139,Producto_139,Comida,1662.00
140,Producto_140,Postre,5810.00
141,Producto_141,Bebida,9685.00
142,Producto_142,Comida,2111.00
